IP,Categories,ReportDate,Comment
89.175.203.78,"",2025-02-20T21:04:56.863492+00:00,"Related with ip address detected by heuristics of https://github.com/HydraDragonAntivirus/HydraDragonAntivirusSearchEngine (Source IP: 89.175.203.78, Source URL: http://89.175.203.78/, Discovered URL: http://89.175.203.78, Verdict: benign (auto verdict 2), Depth: 1)"
87.241.141.56,"",2025-02-20T21:04:56.879598+00:00,"Related with ip address detected by heuristics of https://github.com/HydraDragonAntivirus/HydraDragonAntivirusSearchEngine (Source IP: 87.241.141.56, Source URL: http://87.241.141.56/, Discovered URL: http://87.241.141.56, Verdict: benign (auto verdict 2), Depth: 1)"
2001:67c:1220:808:d5:a28:cc2:27c5,"",2025-02-20T21:09:38.532212+00:00,"Related with ip address detected by heuristics of https://github.com/HydraDragonAntivirus/HydraDragonAntivirusSearchEngine (Source IP: 92.27.11.84, Source URL: http://92.27.11.84/, Discovered URL: http://2001:67c:1220:808:d5:a28:cc2:27c5, Verdict: benign (auto verdict 3), Depth: 1)"
