IP,Categories,References,ReportDate,Comment
181.115.145.116,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-09-30T13:42:14.761119+00:00,"Related with IP detected by heuristics (Discovered IP: 181.115.145.116, Discovered URL: http://181.115.145.116, Verdict: Whitelist, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: Yes"
184.154.158.134,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-09-30T13:09:49.035387+00:00,"Related with IP detected by heuristics (Discovered IP: 184.154.158.134, Discovered URL: http://184.154.158.134, Verdict: Whitelist, HTTP Status: 503), Zeroday: No"
185.110.22.200,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-09-30T13:00:01.486368+00:00,"Related with IP detected by heuristics (Discovered IP: 185.110.22.200, Discovered URL: http://185.110.22.200, Verdict: Whitelist, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: Yes"
185.130.45.207,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-09-30T13:10:42.354137+00:00,"Related with IP detected by heuristics (Discovered IP: 185.130.45.207, Discovered URL: http://185.130.45.207, Verdict: Whitelist, HTTP Status: 404), Zeroday: No"
185.182.106.60,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-09-30T13:41:25.626761+00:00,"Related with IP detected by heuristics (Discovered IP: 185.182.106.60, Discovered URL: http://185.182.106.60, Verdict: Whitelist, HTTP Status: 400), Zeroday: No"
185.189.100.92,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-09-30T13:44:37.974499+00:00,"Related with IP detected by heuristics (Discovered IP: 185.189.100.92, Discovered URL: http://185.189.100.92, Verdict: Whitelist, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: Yes"
185.2.68.79,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-09-30T13:11:02.431979+00:00,"Related with IP detected by heuristics (Discovered IP: 185.2.68.79, Discovered URL: http://185.2.68.79, Verdict: Whitelist, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: Yes"
185.220.101.2,"Whitelist","HydraDragonAntivirusSearchEngine|Unknown",2025-09-30T13:09:20.773943+00:00,"Related with IP detected by heuristics (Discovered IP: 185.220.101.2, Discovered URL: http://185.220.101.2, Verdict: Whitelist, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: Yes"
185.220.101.50,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-09-30T13:13:05.165996+00:00,"Related with IP detected by heuristics (Discovered IP: 185.220.101.50, Discovered URL: http://185.220.101.50, Verdict: Whitelist, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: Yes"
187.95.236.236,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-09-30T13:44:00.663267+00:00,"Related with IP detected by heuristics (Discovered IP: 187.95.236.236, Discovered URL: http://187.95.236.236, Verdict: Whitelist, HTTP Status: 404), Zeroday: No"
193.192.197.40,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-09-30T13:41:42.046187+00:00,"Related with IP detected by heuristics (Discovered IP: 193.192.197.40, Discovered URL: http://193.192.197.40, Verdict: Whitelist, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: Yes"
194.36.144.87,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-09-30T13:02:44.631500+00:00,"Related with IP detected by heuristics (Discovered IP: 194.36.144.87, Discovered URL: http://194.36.144.87, Verdict: Whitelist, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: Yes"
195.226.187.130,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-09-30T13:15:22.223861+00:00,"Related with IP detected by heuristics (Discovered IP: 195.226.187.130, Discovered URL: http://195.226.187.130, Verdict: Whitelist, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: Yes"
198.38.92.185,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-09-30T13:12:47.175789+00:00,"Related with IP detected by heuristics (Discovered IP: 198.38.92.185, Discovered URL: http://198.38.92.185, Verdict: Whitelist, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: Yes"
200.111.8.178,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-09-30T13:13:52.042933+00:00,"Related with IP detected by heuristics (Discovered IP: 200.111.8.178, Discovered URL: http://200.111.8.178, Verdict: Whitelist, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: Yes"
200.35.94.41,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-09-30T13:27:29.159317+00:00,"Related with IP detected by heuristics (Discovered IP: 200.35.94.41, Discovered URL: http://200.35.94.41, Verdict: Whitelist, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: Yes"
202.43.248.178,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-09-30T13:57:46.267110+00:00,"Related with IP detected by heuristics (Discovered IP: 202.43.248.178, Discovered URL: http://202.43.248.178, Verdict: Whitelist, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: Yes"
202.91.42.170,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-09-30T13:05:52.408268+00:00,"Related with IP detected by heuristics (Discovered IP: 202.91.42.170, Discovered URL: http://202.91.42.170, Verdict: Whitelist, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: Yes"
210.114.11.239,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-09-30T13:25:43.937279+00:00,"Related with IP detected by heuristics (Discovered IP: 210.114.11.239, Discovered URL: http://210.114.11.239, Verdict: Whitelist, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: Yes"
211.219.230.11,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-09-30T13:48:48.774309+00:00,"Related with IP detected by heuristics (Discovered IP: 211.219.230.11, Discovered URL: http://211.219.230.11, Verdict: Whitelist, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: Yes"
211.72.22.210,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-09-30T13:31:49.386956+00:00,"Related with IP detected by heuristics (Discovered IP: 211.72.22.210, Discovered URL: http://211.72.22.210, Verdict: Whitelist, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: Yes"
212.93.118.21,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-09-30T13:02:00.246286+00:00,"Related with IP detected by heuristics (Discovered IP: 212.93.118.21, Discovered URL: http://212.93.118.21, Verdict: Whitelist, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: Yes"
