IP,Categories,References,ReportDate,Comment
104.196.168.83,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-09-20T19:24:20.186253+00:00,"Related with IP detected by heuristics (Discovered IP: 104.196.168.83, Discovered URL: http://104.196.168.83, Verdict: Malware, HTTP Status: 404), Zeroday: No"
104.210.106.55,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-09-20T19:58:44.595051+00:00,"Related with IP detected by heuristics (Discovered IP: 104.210.106.55, Discovered URL: http://104.210.106.55, Verdict: Malware, HTTP Status: 404), Zeroday: No"
104.212.67.19,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-09-20T19:26:40.868424+00:00,"Related with IP detected by heuristics (Discovered IP: 104.212.67.19, Discovered URL: http://104.212.67.19, Verdict: Malware, HTTP Status: 400), Zeroday: No"
104.225.216.223,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-09-20T19:34:59.478032+00:00,"Related with IP detected by heuristics (Discovered IP: 104.225.216.223, Discovered URL: http://104.225.216.223, Verdict: Malware, HTTP Status: 404), Zeroday: No"
104.248.80.209,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-09-20T19:35:51.559240+00:00,"Related with IP detected by heuristics (Discovered IP: 104.248.80.209, Discovered URL: http://104.248.80.209, Verdict: Malware, HTTP Status: 404), Zeroday: No"
104.96.169.100,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-09-20T19:44:08.904969+00:00,"Related with IP detected by heuristics (Discovered IP: 104.96.169.100, Discovered URL: http://104.96.169.100, Verdict: Malware, HTTP Status: 400), Zeroday: No"
106.39.219.126,"Malware","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(Malware)",2025-09-20T19:28:20.886103+00:00,"Related with IP detected by heuristics (Discovered IP: 106.39.219.126, Discovered URL: http://106.39.219.126, Verdict: Malware, HTTP Status: 404), Zeroday: No"
106.52.128.236,"Malware","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(Malware)",2025-09-20T20:09:06.712174+00:00,"Related with IP detected by heuristics (Discovered IP: 106.52.128.236, Discovered URL: http://106.52.128.236, Verdict: Malware, HTTP Status: 400), Zeroday: No"
106.75.60.247,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-09-20T19:44:16.961958+00:00,"Related with IP detected by heuristics (Discovered IP: 106.75.60.247, Discovered URL: http://106.75.60.247, Verdict: Malware, HTTP Status: 404), Zeroday: No"
107.154.155.87,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-09-20T19:45:44.741369+00:00,"Related with IP detected by heuristics (Discovered IP: 107.154.155.87, Discovered URL: http://107.154.155.87, Verdict: Malware, HTTP Status: 503), Zeroday: No"
107.154.167.94,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-09-20T19:46:45.466628+00:00,"Related with IP detected by heuristics (Discovered IP: 107.154.167.94, Discovered URL: http://107.154.167.94, Verdict: Malware, HTTP Status: 503), Zeroday: No"
