IP,Categories,References,ReportDate,Comment
103.221.232.147,"Spam","HydraDragonAntivirusSearchEngine|Unknown",2025-10-08T07:38:37.959556+00:00,"Related with IP detected by heuristics (Discovered IP: 103.221.232.147, Discovered URL: http://103.221.232.147, Verdict: Spam, HTTP Status: 407), Zeroday: No"
103.247.151.124,"Spam","HydraDragonAntivirusSearchEngine|Unknown",2025-10-08T07:35:04.932850+00:00,"Related with IP detected by heuristics (Discovered IP: 103.247.151.124, Discovered URL: http://103.247.151.124, Verdict: Spam, HTTP Status: 407), Zeroday: No"
103.247.151.173,"Spam","HydraDragonAntivirusSearchEngine|Unknown",2025-10-08T07:53:47.072932+00:00,"Related with IP detected by heuristics (Discovered IP: 103.247.151.173, Discovered URL: http://103.247.151.173, Verdict: Spam, HTTP Status: 407), Zeroday: No"
103.6.198.140,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-10-08T07:56:05.880521+00:00,"Related with IP detected by heuristics (Discovered IP: 103.6.198.140, Discovered URL: http://103.6.198.140, Verdict: Malware, HTTP Status: 403), Zeroday: No"
104.131.190.51,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-10-08T07:32:16.267365+00:00,"Related with IP detected by heuristics (Discovered IP: 104.131.190.51, Discovered URL: http://104.131.190.51, Verdict: Malware, HTTP Status: 403), Zeroday: No"
104.140.190.159,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-10-08T08:26:07.768649+00:00,"Related with IP detected by heuristics (Discovered IP: 104.140.190.159, Discovered URL: http://104.140.190.159, Verdict: Malware, HTTP Status: 407), Zeroday: No"
104.16.161.215,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-10-08T08:20:12.228488+00:00,"Related with IP detected by heuristics (Discovered IP: 104.16.161.215, Discovered URL: http://104.16.161.215, Verdict: Malware, HTTP Status: 403), Zeroday: No"
104.16.222.53,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-10-08T08:11:22.745494+00:00,"Related with IP detected by heuristics (Discovered IP: 104.16.222.53, Discovered URL: http://104.16.222.53, Verdict: Malware, HTTP Status: 403), Zeroday: No"
104.16.74.211,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-10-08T07:43:04.193482+00:00,"Related with IP detected by heuristics (Discovered IP: 104.16.74.211, Discovered URL: http://104.16.74.211, Verdict: Malware, HTTP Status: 403), Zeroday: No"
104.16.85.202,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-10-08T07:39:22.093950+00:00,"Related with IP detected by heuristics (Discovered IP: 104.16.85.202, Discovered URL: http://104.16.85.202, Verdict: Malware, HTTP Status: 403), Zeroday: No"
