IP,Categories,References,ReportDate,Comment
101.99.90.146,"Phishing","HydraDragonAntivirusSearchEngine|Unknown",2025-10-04T04:42:18.362424+00:00,"Related with IP detected by heuristics (Discovered IP: 101.99.90.146, Discovered URL: http://101.99.90.146, Verdict: Phishing, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: No"
101.99.93.147,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-10-04T05:00:51.846005+00:00,"Related with IP detected by heuristics (Discovered IP: 101.99.93.147, Discovered URL: http://101.99.93.147, Verdict: Malware, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: No"
102.0.18.198,"Malware","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(Malware)",2025-10-04T05:27:18.775586+00:00,"Related with IP detected by heuristics (Discovered IP: 102.0.18.198, Discovered URL: http://102.0.18.198, Verdict: Malware, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: No"
102.130.125.60,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-10-04T04:35:55.957889+00:00,"Related with IP detected by heuristics (Discovered IP: 102.130.125.60, Discovered URL: http://102.130.125.60, Verdict: Malware, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: No"
102.165.51.171,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-10-04T05:08:09.961144+00:00,"Related with IP detected by heuristics (Discovered IP: 102.165.51.171, Discovered URL: http://102.165.51.171, Verdict: Malware, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: No"
102.219.204.165,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-10-04T04:40:28.221386+00:00,"Related with IP detected by heuristics (Discovered IP: 102.219.204.165, Discovered URL: http://102.219.204.165, Verdict: Malware, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: No"
103.100.208.88,"Malware","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(Malware)",2025-10-04T04:48:31.313296+00:00,"Related with IP detected by heuristics (Discovered IP: 103.100.208.88, Discovered URL: http://103.100.208.88, Verdict: Malware, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: No"
103.105.124.62,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-10-04T05:27:17.993940+00:00,"Related with IP detected by heuristics (Discovered IP: 103.105.124.62, Discovered URL: http://103.105.124.62, Verdict: Malware, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: No"
103.107.143.82,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-10-04T05:09:27.673545+00:00,"Related with IP detected by heuristics (Discovered IP: 103.107.143.82, Discovered URL: http://103.107.143.82, Verdict: Malware, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: No"
103.108.41.44,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-10-04T05:12:43.866490+00:00,"Related with IP detected by heuristics (Discovered IP: 103.108.41.44, Discovered URL: http://103.108.41.44, Verdict: Malware, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: No"
103.110.184.108,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-10-04T05:16:05.884042+00:00,"Related with IP detected by heuristics (Discovered IP: 103.110.184.108, Discovered URL: http://103.110.184.108, Verdict: Malware, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: No"
103.115.128.6,"Spam","HydraDragonAntivirusSearchEngine|Unknown",2025-10-04T04:36:04.179590+00:00,"Related with IP detected by heuristics (Discovered IP: 103.115.128.6, Discovered URL: http://103.115.128.6, Verdict: Spam, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: No"
103.117.122.26,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-10-04T04:44:38.667541+00:00,"Related with IP detected by heuristics (Discovered IP: 103.117.122.26, Discovered URL: http://103.117.122.26, Verdict: Malware, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: No"
103.118.175.18,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-10-04T04:55:11.537143+00:00,"Related with IP detected by heuristics (Discovered IP: 103.118.175.18, Discovered URL: http://103.118.175.18, Verdict: Malware, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: No"
103.122.34.182,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-10-04T05:03:59.717279+00:00,"Related with IP detected by heuristics (Discovered IP: 103.122.34.182, Discovered URL: http://103.122.34.182, Verdict: Malware, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: No"
103.124.197.46,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-10-04T05:22:50.299845+00:00,"Related with IP detected by heuristics (Discovered IP: 103.124.197.46, Discovered URL: http://103.124.197.46, Verdict: Malware, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: No"
103.127.224.229,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-10-04T04:48:41.634899+00:00,"Related with IP detected by heuristics (Discovered IP: 103.127.224.229, Discovered URL: http://103.127.224.229, Verdict: Malware, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: No"
